,CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,AVAILABLETIME,XCOORD_END,YCOORD_END
0,0,40.0,50.0,0.0,0.0,1236.0,0.0,0.0,40.0,50.0
1,1,45.0,68.0,10.0,912.0,967.0,90.0,132.25,45.0,68.0
2,2,45.0,70.0,30.0,825.0,870.0,90.0,51.0,45.0,70.0
3,3,42.0,66.0,10.0,65.0,146.0,90.0,0.0,42.0,66.0
4,4,42.0,68.0,10.0,727.0,782.0,90.0,0.0,42.0,68.0
5,5,42.0,65.0,10.0,15.0,67.0,90.0,0.0,42.0,65.0
6,6,40.0,69.0,20.0,621.0,702.0,90.0,0.0,40.0,69.0
7,7,40.0,66.0,20.0,170.0,225.0,90.0,0.0,40.0,66.0
8,8,38.0,68.0,20.0,255.0,324.0,90.0,0.0,38.0,68.0
9,9,38.0,70.0,10.0,534.0,605.0,90.0,0.0,38.0,70.0
10,10,35.0,66.0,10.0,357.0,410.0,90.0,0.0,35.0,66.0
11,11,35.0,69.0,10.0,448.0,505.0,90.0,0.0,35.0,69.0
12,12,25.0,85.0,20.0,652.0,721.0,90.0,0.0,25.0,85.0
13,13,22.0,75.0,30.0,30.0,92.0,90.0,0.0,22.0,75.0
14,14,22.0,85.0,10.0,567.0,620.0,90.0,0.0,22.0,85.0
15,15,20.0,80.0,40.0,384.0,429.0,90.0,0.0,20.0,80.0
16,16,20.0,85.0,40.0,475.0,528.0,90.0,0.0,20.0,85.0
17,17,18.0,75.0,20.0,99.0,148.0,90.0,0.0,18.0,75.0
18,18,15.0,75.0,20.0,179.0,254.0,90.0,0.0,15.0,75.0
19,19,15.0,80.0,10.0,278.0,345.0,90.0,0.0,15.0,80.0
20,20,30.0,50.0,10.0,10.0,73.0,90.0,0.0,30.0,50.0
21,21,30.0,52.0,20.0,914.0,965.0,90.0,126.0,30.0,52.0
22,22,28.0,52.0,20.0,812.0,883.0,90.0,88.5,28.0,52.0
23,23,28.0,55.0,10.0,732.0,777.0,90.0,0.0,28.0,55.0
24,24,25.0,50.0,10.0,65.0,144.0,90.0,0.0,25.0,50.0
25,25,25.0,52.0,40.0,169.0,224.0,90.0,0.0,25.0,52.0
26,26,25.0,55.0,10.0,622.0,701.0,90.0,0.0,25.0,55.0
